临危不乱 淡定淡定[允悲][ok],正面
工作的女人最帅[比耶],正面
这是缘～亦是最美的香肩～ 临危不乱 应对好稳!,正面
好淡定的宝宝 太美了[给你小心心][鲜花],正面
最美的香肩,正面
露给我看的[舔屏][舔屏][舔屏][舔屏][舔屏],负面
梦回芸汐传,正面
？咋又上热搜了呢？[允悲] @鞠婧祎 不愧是你,正面
美的没话说，鞠婧祎永远的神,正面
#鞠婧祎衣服吊带断了# 万转出圈神作[女孩儿],负面
临危不乱，从容淡定[酷],正面
是的！我也想到了这个[害羞],正面
这肩膀我可以靠上去吗,负面
这场我的最爱#鞠婧祎衣服吊带断了#,负面
老公 怎么回事 热门没看到你[看书],正面
刚刚听完这首歌[太开心],正面
淡定自如,负面
临危不乱的好宝宝[亲亲][亲亲],负面
这场真的太美了[泪],正面
陪陪，热门看不到你了[苦涩],正面
厉害,负面
好厉害[哇][哇][哇],负面
为月球上的中国红🇨🇳点赞[good][good],正面
[赞],正面
[赞],正面
[哇],正面
[赞][赞][赞],正面
[good],中性
好厉害[good],负面
[心][心][心],正面
支持女孩子长大以后等它老了天天坐在床前面把它屎打出来塞它嘴里,正面
这种父亲是个暴徒[怒],正面
能理解的那一部分不知道是哪种人？,正面
不愧是安徽人[嘻嘻],正面
我小时候帮爸爸去买苹果，塑料袋拖在地上把袋子里的苹果拖坏了好多个。回到家爸爸一脚踹到我胃部，从此很长一段时间胃疼。想想真的挺可恨，我能拖着塑料袋在地上走，说明那时我的个头才多矮啊，乖巧的帮他去干活只不过年纪小没考虑后果，就要被那样毒打。所以成年后，我跟父亲关系很疏离,正面
很好，这孩子这辈子都不敢跟她爸开玩笑了，等他爹老了走不动了的时候也还记得这一脚,正面
这种视频看了血压就上来了,正面
能理解的都是同类牲口[吐],正面
看一次气一次，什么猪狗不如的东西，孩子都下得去脚！,正面
家庭遇到变故，或者女人跑了[doge],正面
孩子天真的跟他玩耍不喜欢可以事后教育，这样踹一脚也太极端了[微笑],正面
我也有女儿 有时候对她大声说话都觉得内疚,负面
“猪狗不如”,正面
这不得拘留个15天的,负面
这已经不是适不适合当爸爸的选择了，这他妈简直就不是配当人。,负面
不明白为什么要生呢，喜欢自由潇洒就不要生孩子，生了你就认了，别结仇，自己的孩子也是会生怨恨的,正面
什么暴力狂,正面
这怂不是爸爸吧,正面
这样的爸爸真是特别多，属于基因特性，另一半总是愿意用一生和下一代去赌对方是个好东西[摊手]很悲哀,正面
打一下就得了，还踹一脚，不知道自己多大力气吗,负面
果然啊[doge]dy更新之后就来了[doge]dy更新是微博的预告片[doge],负面
这个太有氛围感了!烨妈拍照绝了[爱慕]@林子烨-Lester http://t.cn/A6HIT0Gy,正面
有没有在墨尔本看到企鹅🐧,负面
#林子烨[超话]# 阳光打在身上真好看[比耶],正面
这是库存呀，还有多少库存没发[doge],负面
好帅！好绝！真是如维纳斯黄金比例般的奇迹我恨不得又哭又叫从五行山下嗖一声窜出来跑遍五岳爬珠穆朗玛峰跑哭来一个螺旋跪地为您的帅气而哭泣到震撼灵魂出窍五脏六腑颤抖眼泪形成长江黄河太平洋滋养！ http://t.cn/A6HIYz6l,正面
还有没有库存 再抖抖[doge],负面
又是库存，啥时候可以看到新鲜的[苦涩],正面
你的人生照片[嘻嘻],正面
第一世，我是天才女将，却被小人诬陷欺君罔上，一世英名毁于一旦。第二世，我本是豪门千金，却被从天而降的养女陷害 ，悲痛自刎。这一世 我要让他们都付出代价，《翻我》 聆听我的复仇计划,正面
我爱了,正面
子烨这是在自拍嘛[doge]烨妈发出来看看[好喜欢] http://t.cn/A6HImyQN,正面
乖乖好多库存[抓狂][哇][哇][哇],负面
宝宝今天走的是小狗学弟风吗[可怜],正面
我去爬山到山顶时缺氧呼吸困难，于是拿出一瓶氧气吸了一口，瞬间精神抖擞，我在想这是什么气这么好用，原来是你好帅气😎 http://t.cn/A6HIYhWg,正面
在自拍吗[思考] http://t.cn/A6HIjExY,正面
好像穿越进了哈利波特 http://t.cn/A6HIjH3Q,正面
我们家子烨好帅[发芽][发芽][发芽],正面
打卡——好帅呀宝宝[抱一抱][抱一抱][抱一抱] http://t.cn/A6HI8OWd,正面
烨妈 感觉子烨又长高了[哇],正面
手真欠。真恨自己的手不能伸进视频里给他一个大逼斗,负面
这小孩真是手欠，看的我都想生气。旁边的人还高兴的叫[允悲][允悲]。这种孩子真是够了。,正面
做父母的是怎么教育孩子的？！,正面
不就是一个小魔术吗？和三仙归洞，本质上没啥区别,正面
真该给他一家子来个大兜逼！！,负面
有什么好揭穿的，又不是魔法，是个人都知道这只是表演技巧。,正面
真沒教養,负面
还能再淘点吗，以后早晚惹大祸，没准现在坟头草已经老高了。,正面
孩子手欠，家长也没家教。活该放网上年年被鞭尸。,正面
手真欠打,负面
哈哈哈哈哈哈[笑cry][笑cry][笑cry],正面
这不犯法的吗？变脸是中国传统文化，是不允许公开的啊,正面
家教,正面
哈哈,正面
哈哈哈哈[笑cry][笑cry],正面
哈哈！,正面
素质教育任重道远,正面
转发微博,正面
